"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Parameter Value[sample dilution ratio]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[internal standard]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[internal standard amount]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[flow rate]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[detector]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ionization mode]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[software]"	"Term Source REF"	"Term Accession Number"	"Normalization Name"	"Data Transformation Name"	"Derived Spectral Data File"	"Metabolite Assignment File"	"Factor Value[selectively maintained organism]"	"Term Source REF"	"Term Accession Number"
"IPB-Halle.Group-01.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-01.Subject-1.resin.Extract-1"	"ESI-FTICR mass spectrometry"	"1/5 (v/v) in methanol?"	""	""	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"2 ml  per minute"	""	""	"Bruker Apex III Fourier Transform ion cyclotron resonance"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"IPB-Halle.Group-01.Subject-1.resin.Extract-1.ESI-FTICR-MSASSAY-1-positive_mode"	""	"data transformation"	"XMASS"	""	""	""	"FTICR-MS-PCA"	"<manuscript-figure8>"	""	"Hallertau Perle"	""	""
"IPB-Halle.Group-02.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-02.Subject-1.resin.Extract-1"	"ESI-FTICR mass spectrometry"	"1/5 (v/v) in methanol?"	""	""	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"2 ml  per minute"	""	""	"Bruker Apex III Fourier Transform ion cyclotron resonance"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"IPB-Halle.Group-02.Subject-1.resin.Extract-1.ESI-FTICR-MSASSAY-1-positive_mode"	""	"data transformation"	"XMASS"	""	""	""	"FTICR-MS-PCA"	"<manuscript-figure8>"	""	"Hallertau Hallertauer Tradition"	""	""
"IPB-Halle.Group-03.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-03.Subject-1.resin.Extract-1"	"ESI-FTICR mass spectrometry"	"1/5 (v/v) in methanol?"	""	""	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"2 ml  per minute"	""	""	"Bruker Apex III Fourier Transform ion cyclotron resonance"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"IPB-Halle.Group-03.Subject-1.resin.Extract-1.ESI-FTICR-MSASSAY-1-positive_mode"	""	"data transformation"	"XMASS"	""	""	""	"FTICR-MS-PCA"	"<manuscript-figure8>"	""	"Hallertau Hersbruker"	""	""
"IPB-Halle.Group-04.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-04.Subject-1.resin.Extract-1"	"ESI-FTICR mass spectrometry"	"1/5 (v/v) in methanol?"	""	""	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"2 ml  per minute"	""	""	"Bruker Apex III Fourier Transform ion cyclotron resonance"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"IPB-Halle.Group-04.Subject-1.resin.Extract-1.ESI-FTICR-MSASSAY-1-positive_mode"	""	"data transformation"	"XMASS"	""	""	""	"FTICR-MS-PCA"	"<manuscript-figure8>"	""	"Hallertau Hercules"	""	""
"IPB-Halle.Group-05.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-05.Subject-1.resin.Extract-1"	"ESI-FTICR mass spectrometry"	"1/5 (v/v) in methanol?"	""	""	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"2 ml  per minute"	""	""	"Bruker Apex III Fourier Transform ion cyclotron resonance"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"IPB-Halle.Group-05.Subject-1.resin.Extract-1.ESI-FTICR-MSASSAY-1-positive_mode"	""	"data transformation"	"XMASS"	""	""	""	"FTICR-MS-PCA"	"<manuscript-figure8>"	""	"Hallertau Hallertauer Magnum"	""	""
"IPB-Halle.Group-06.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-06.Subject-1.resin.Extract-1"	"ESI-FTICR mass spectrometry"	"1/5 (v/v) in methanol?"	""	""	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"2 ml  per minute"	""	""	"Bruker Apex III Fourier Transform ion cyclotron resonance"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"IPB-Halle.Group-06.Subject-1.resin.Extract-1.ESI-FTICR-MSASSAY-1-positive_mode"	""	"data transformation"	"XMASS"	""	""	""	"FTICR-MS-PCA"	"<manuscript-figure8>"	""	"Hallertau Spalter Select"	""	""
"IPB-Halle.Group-07.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-07.Subject-1.resin.Extract-1"	"ESI-FTICR mass spectrometry"	"1/5 (v/v) in methanol?"	""	""	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"2 ml  per minute"	""	""	"Bruker Apex III Fourier Transform ion cyclotron resonance"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"IPB-Halle.Group-07.Subject-1.resin.Extract-1.ESI-FTICR-MSASSAY-1-positive_mode"	""	"data transformation"	"XMASS"	""	""	""	"FTICR-MS-PCA"	"<manuscript-figure8>"	""	"Hallertau Hallertauer Taurus"	""	""
"IPB-Halle.Group-08.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-08.Subject-1.resin.Extract-1"	"ESI-FTICR mass spectrometry"	"1/5 (v/v) in methanol?"	""	""	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"2 ml  per minute"	""	""	"Bruker Apex III Fourier Transform ion cyclotron resonance"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"IPB-Halle.Group-08.Subject-1.resin.Extract-1.ESI-FTICR-MSASSAY-1-positive_mode"	""	"data transformation"	"XMASS"	""	""	""	"FTICR-MS-PCA"	"<manuscript-figure8>"	""	"Elbe-Saale Magnum"	""	""
"IPB-Halle.Group-09.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-09.Subject-1.resin.Extract-1"	"ESI-FTICR mass spectrometry"	"1/5 (v/v) in methanol?"	""	""	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"2 ml  per minute"	""	""	"Bruker Apex III Fourier Transform ion cyclotron resonance"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"IPB-Halle.Group-09.Subject-1.resin.Extract-1.ESI-FTICR-MSASSAY-1-positive_mode"	""	"data transformation"	"XMASS"	""	""	""	"FTICR-MS-PCA"	"<manuscript-figure8>"	""	"Elbe-Saale Northern Brewer"	""	""
"IPB-Halle.Group-10.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-10.Subject-1.resin.Extract-1"	"ESI-FTICR mass spectrometry"	"1/5 (v/v) in methanol?"	""	""	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"2 ml  per minute"	""	""	"Bruker Apex III Fourier Transform ion cyclotron resonance"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"IPB-Halle.Group-10.Subject-1.resin.Extract-1.ESI-FTICR-MSASSAY-1-positive_mode"	""	"data transformation"	"XMASS"	""	""	""	"FTICR-MS-PCA"	"<manuscript-figure8>"	""	"Tettnang Perle"	""	""
"IPB-Halle.Group-11.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-11.Subject-1.resin.Extract-1"	"ESI-FTICR mass spectrometry"	"1/5 (v/v) in methanol?"	""	""	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"2 ml  per minute"	""	""	"Bruker Apex III Fourier Transform ion cyclotron resonance"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"IPB-Halle.Group-11.Subject-1.resin.Extract-1.ESI-FTICR-MSASSAY-1-positive_mode"	""	"data transformation"	"XMASS"	""	""	""	"FTICR-MS-PCA"	"<manuscript-figure8>"	""	"Muhlviertel Magnum"	""	""
"IPB-Halle.Group-12.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-12.Subject-1.resin.Extract-1"	"ESI-FTICR mass spectrometry"	"1/5 (v/v) in methanol?"	""	""	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"2 ml  per minute"	""	""	"Bruker Apex III Fourier Transform ion cyclotron resonance"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"IPB-Halle.Group-12.Subject-1.resin.Extract-1.ESI-FTICR-MSASSAY-1-positive_mode"	""	"data transformation"	"XMASS"	""	""	""	"FTICR-MS-PCA"	"<manuscript-figure8>"	""	"Muhlviertel Perle"	""	""
