"Sample Name"	"Protocol REF"	"Parameter Value[sample amount]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[extraction solvent]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[sample amount]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[chromatography instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[chromatography column]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[elution program]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[flow rate]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[detector]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ionization mode]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ionization voltage]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[scanning]"	"Unit"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[software]"	"Term Source REF"	"Term Accession Number"	"Normalization Name"	"Data Transformation Name"	"Derived Spectral Data File"	"Metabolite Assignment File"	"Factor Value[OBI:selectively maintained organism]"	"Term Source REF"	"Term Accession Number"
"IPB-Halle.Group-01.Subject-1.resin"	"GC-MS extraction"	"1"	"milligram"	"UO"	"22"	"chloroform"	"CHEBI"	"35255"	"IPB-Halle.Group-01.Subject-1.resin.GC-MS.Extract-1"	"derivatization"	"IPB-Halle.Group-01.Subject-1.resin.GC-MS.Extract-1.LE-1"	"carboxylic ester"	"CHEBI"	"33308"	"GC mass spectrometry"	"200"	"microliter"	"UO"	"101"	"Thermo Trace GC"	""	""	"J&W Scientific (0.25 mm internal diameter)"	""	""	"80 C for 2 min;ramping to 315 C at 5C per min;holding at 315 C for 12 min"	""	""	"1 ml per minute"	""	""	"ThermoElectron Voyager"	""	""	"electrospray ionization"	"MS"	"1000073"	"ion trap"	"MS"	"1000264"	"positive ion mode"	"MS"	"1000077"	"70"	"eV"	"UO"	"0000266"	"50-650"	"m/z"	"MS"	"1000040"	"IPB-Halle.Group-01.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1"	"IPB-Halle.Group-01.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1.CDF"	"data transformation"	"XCMS"	""	""	""	"GC-MS-PCA"	"GC-MS-PCA.txt"	""	"Hallertau Perle"	""	""
"IPB-Halle.Group-02.Subject-1.resin"	"GC-MS extraction"	"1"	"milligram"	"UO"	"22"	"chloroform"	"CHEBI"	"35255"	"IPB-Halle.Group-02.Subject-1.resin.GC-MS.Extract-1"	"derivatization"	"IPB-Halle.Group-02.Subject-1.resin.GC-MS.Extract-1.LE-1"	"carboxylic ester"	"CHEBI"	"33308"	"GC mass spectrometry"	"200"	"microliter"	"UO"	"101"	"Thermo Trace GC"	""	""	"J&W Scientific (0.25 mm internal diameter)"	""	""	"80 C for 2 min;ramping to 315 C at 5C per min;holding at 315 C for 12 min"	""	""	"1 ml per minute"	""	""	"ThermoElectron Voyager"	""	""	"electrospray ionization"	"MS"	"1000073"	"ion trap"	"MS"	"1000264"	"positive ion mode"	"MS"	"1000077"	"70"	"eV"	"UO"	"0000266"	"50-650"	"m/z"	"MS"	"1000040"	"IPB-Halle.Group-02.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1"	"IPB-Halle.Group-02.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1.CDF"	"data transformation"	"XCMS"	""	""	""	"GC-MS-PCA"	"GC-MS-PCA.txt"	""	"Hallertau Hallertauer Tradition"	""	""
"IPB-Halle.Group-03.Subject-1.resin"	"GC-MS extraction"	"1"	"milligram"	"UO"	"22"	"chloroform"	"CHEBI"	"35255"	"IPB-Halle.Group-03.Subject-1.resin.GC-MS.Extract-1"	"derivatization"	"IPB-Halle.Group-03.Subject-1.resin.GC-MS.Extract-1.LE-1"	"carboxylic ester"	"CHEBI"	"33308"	"GC mass spectrometry"	"200"	"microliter"	"UO"	"101"	"Thermo Trace GC"	""	""	"J&W Scientific (0.25 mm internal diameter)"	""	""	"80 C for 2 min;ramping to 315 C at 5C per min;holding at 315 C for 12 min"	""	""	"1 ml per minute"	""	""	"ThermoElectron Voyager"	""	""	"electrospray ionization"	"MS"	"1000073"	"ion trap"	"MS"	"1000264"	"positive ion mode"	"MS"	"1000077"	"70"	"eV"	"UO"	"0000266"	"50-650"	"m/z"	"MS"	"1000040"	"IPB-Halle.Group-03.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1"	"IPB-Halle.Group-03.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1.CDF"	"data transformation"	"XCMS"	""	""	""	"GC-MS-PCA"	"GC-MS-PCA.txt"	""	"Hallertau Hersbruker"	""	""
"IPB-Halle.Group-04.Subject-1.resin"	"GC-MS extraction"	"1"	"milligram"	"UO"	"22"	"chloroform"	"CHEBI"	"35255"	"IPB-Halle.Group-04.Subject-1.resin.GC-MS.Extract-1"	"derivatization"	"IPB-Halle.Group-04.Subject-1.resin.GC-MS.Extract-1.LE-1"	"carboxylic ester"	"CHEBI"	"33308"	"GC mass spectrometry"	"200"	"microliter"	"UO"	"101"	"Thermo Trace GC"	""	""	"J&W Scientific (0.25 mm internal diameter)"	""	""	"80 C for 2 min;ramping to 315 C at 5C per min;holding at 315 C for 12 min"	""	""	"1 ml per minute"	""	""	"ThermoElectron Voyager"	""	""	"electrospray ionization"	"MS"	"1000073"	"ion trap"	"MS"	"1000264"	"positive ion mode"	"MS"	"1000077"	"70"	"eV"	"UO"	"0000266"	"50-650"	"m/z"	"MS"	"1000040"	"IPB-Halle.Group-04.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1"	"IPB-Halle.Group-04.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1.CDF"	"data transformation"	"XCMS"	""	""	""	"GC-MS-PCA"	"GC-MS-PCA.txt"	""	"Hallertau Hercules"	""	""
"IPB-Halle.Group-05.Subject-1.resin"	"GC-MS extraction"	"1"	"milligram"	"UO"	"22"	"chloroform"	"CHEBI"	"35255"	"IPB-Halle.Group-05.Subject-1.resin.GC-MS.Extract-1"	"derivatization"	"IPB-Halle.Group-05.Subject-1.resin.GC-MS.Extract-1.LE-1"	"carboxylic ester"	"CHEBI"	"33308"	"GC mass spectrometry"	"200"	"microliter"	"UO"	"101"	"Thermo Trace GC"	""	""	"J&W Scientific (0.25 mm internal diameter)"	""	""	"80 C for 2 min;ramping to 315 C at 5C per min;holding at 315 C for 12 min"	""	""	"1 ml per minute"	""	""	"ThermoElectron Voyager"	""	""	"electrospray ionization"	"MS"	"1000073"	"ion trap"	"MS"	"1000264"	"positive ion mode"	"MS"	"1000077"	"70"	"eV"	"UO"	"0000266"	"50-650"	"m/z"	"MS"	"1000040"	"IPB-Halle.Group-05.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1"	"IPB-Halle.Group-05.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1.CDF"	"data transformation"	"XCMS"	""	""	""	"GC-MS-PCA"	"GC-MS-PCA.txt"	""	"Hallertau Hallertauer Magnum"	""	""
"IPB-Halle.Group-06.Subject-1.resin"	"GC-MS extraction"	"1"	"milligram"	"UO"	"22"	"chloroform"	"CHEBI"	"35255"	"IPB-Halle.Group-06.Subject-1.resin.GC-MS.Extract-1"	"derivatization"	"IPB-Halle.Group-06.Subject-1.resin.GC-MS.Extract-1.LE-1"	"carboxylic ester"	"CHEBI"	"33308"	"GC mass spectrometry"	"200"	"microliter"	"UO"	"101"	"Thermo Trace GC"	""	""	"J&W Scientific (0.25 mm internal diameter)"	""	""	"80 C for 2 min;ramping to 315 C at 5C per min;holding at 315 C for 12 min"	""	""	"1 ml per minute"	""	""	"ThermoElectron Voyager"	""	""	"electrospray ionization"	"MS"	"1000073"	"ion trap"	"MS"	"1000264"	"positive ion mode"	"MS"	"1000077"	"70"	"eV"	"UO"	"0000266"	"50-650"	"m/z"	"MS"	"1000040"	"IPB-Halle.Group-06.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1"	"IPB-Halle.Group-06.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1.CDF"	"data transformation"	"XCMS"	""	""	""	"GC-MS-PCA"	"GC-MS-PCA.txt"	""	"Hallertau Spalter Select"	""	""
"IPB-Halle.Group-07.Subject-1.resin"	"GC-MS extraction"	"1"	"milligram"	"UO"	"22"	"chloroform"	"CHEBI"	"35255"	"IPB-Halle.Group-07.Subject-1.resin.GC-MS.Extract-1"	"derivatization"	"IPB-Halle.Group-07.Subject-1.resin.GC-MS.Extract-1.LE-1"	"carboxylic ester"	"CHEBI"	"33308"	"GC mass spectrometry"	"200"	"microliter"	"UO"	"101"	"Thermo Trace GC"	""	""	"J&W Scientific (0.25 mm internal diameter)"	""	""	"80 C for 2 min;ramping to 315 C at 5C per min;holding at 315 C for 12 min"	""	""	"1 ml per minute"	""	""	"ThermoElectron Voyager"	""	""	"electrospray ionization"	"MS"	"1000073"	"ion trap"	"MS"	"1000264"	"positive ion mode"	"MS"	"1000077"	"70"	"eV"	"UO"	"0000266"	"50-650"	"m/z"	"MS"	"1000040"	"IPB-Halle.Group-07.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1"	"IPB-Halle.Group-07.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1.CDF"	"data transformation"	"XCMS"	""	""	""	"GC-MS-PCA"	"GC-MS-PCA.txt"	""	"Hallertau Hallertauer Taurus"	""	""
"IPB-Halle.Group-08.Subject-1.resin"	"GC-MS extraction"	"1"	"milligram"	"UO"	"22"	"chloroform"	"CHEBI"	"35255"	"IPB-Halle.Group-08.Subject-1.resin.GC-MS.Extract-1"	"derivatization"	"IPB-Halle.Group-08.Subject-1.resin.GC-MS.Extract-1.LE-1"	"carboxylic ester"	"CHEBI"	"33308"	"GC mass spectrometry"	"200"	"microliter"	"UO"	"101"	"Thermo Trace GC"	""	""	"J&W Scientific (0.25 mm internal diameter)"	""	""	"80 C for 2 min;ramping to 315 C at 5C per min;holding at 315 C for 12 min"	""	""	"1 ml per minute"	""	""	"ThermoElectron Voyager"	""	""	"electrospray ionization"	"MS"	"1000073"	"ion trap"	"MS"	"1000264"	"positive ion mode"	"MS"	"1000077"	"70"	"eV"	"UO"	"0000266"	"50-650"	"m/z"	"MS"	"1000040"	"IPB-Halle.Group-08.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1"	"IPB-Halle.Group-08.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1.CDF"	"data transformation"	"XCMS"	""	""	""	"GC-MS-PCA"	"GC-MS-PCA.txt"	""	"Elbe-Saale Magnum"	""	""
"IPB-Halle.Group-09.Subject-1.resin"	"GC-MS extraction"	"1"	"milligram"	"UO"	"22"	"chloroform"	"CHEBI"	"35255"	"IPB-Halle.Group-09.Subject-1.resin.GC-MS.Extract-1"	"derivatization"	"IPB-Halle.Group-09.Subject-1.resin.GC-MS.Extract-1.LE-1"	"carboxylic ester"	"CHEBI"	"33308"	"GC mass spectrometry"	"200"	"microliter"	"UO"	"101"	"Thermo Trace GC"	""	""	"J&W Scientific (0.25 mm internal diameter)"	""	""	"80 C for 2 min;ramping to 315 C at 5C per min;holding at 315 C for 12 min"	""	""	"1 ml per minute"	""	""	"ThermoElectron Voyager"	""	""	"electrospray ionization"	"MS"	"1000073"	"ion trap"	"MS"	"1000264"	"positive ion mode"	"MS"	"1000077"	"70"	"eV"	"UO"	"0000266"	"50-650"	"m/z"	"MS"	"1000040"	"IPB-Halle.Group-09.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1"	"IPB-Halle.Group-09.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1.CDF"	"data transformation"	"XCMS"	""	""	""	"GC-MS-PCA"	"GC-MS-PCA.txt"	""	"Elbe-Saale Northern Brewer"	""	""
"IPB-Halle.Group-10.Subject-1.resin"	"GC-MS extraction"	"1"	"milligram"	"UO"	"22"	"chloroform"	"CHEBI"	"35255"	"IPB-Halle.Group-10.Subject-1.resin.GC-MS.Extract-1"	"derivatization"	"IPB-Halle.Group-10.Subject-1.resin.GC-MS.Extract-1.LE-1"	"carboxylic ester"	"CHEBI"	"33308"	"GC mass spectrometry"	"200"	"microliter"	"UO"	"101"	"Thermo Trace GC"	""	""	"J&W Scientific (0.25 mm internal diameter)"	""	""	"80 C for 2 min;ramping to 315 C at 5C per min;holding at 315 C for 12 min"	""	""	"1 ml per minute"	""	""	"ThermoElectron Voyager"	""	""	"electrospray ionization"	"MS"	"1000073"	"ion trap"	"MS"	"1000264"	"positive ion mode"	"MS"	"1000077"	"70"	"eV"	"UO"	"0000266"	"50-650"	"m/z"	"MS"	"1000040"	"IPB-Halle.Group-10.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1"	"IPB-Halle.Group-10.Subject-1.resin.GC-MS.Extract-1.LE-1.MSASSAY-1.CDF"	"data transformation"	"XCMS"	""	""	""	"GC-MS-PCA"	"GC-MS-PCA.txt"	""	"Tettnang Perle"	""	""
