"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Parameter Value[sample amount]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[internal standard]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[internal standard amount]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[chromatography instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[chromatography column]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[elution buffer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[elution program]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[flow rate]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[detector]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ionization mode]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ionization voltage]"	"Unit"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[software]"	"Term Source REF"	"Term Accession Number"	"Normalization Name"	"Data Transformation Name"	"Derived Spectral Data File"	"Metabolite Assignment File"	"Factor Value[selectively maintained organism,http://purl.obolibrary.org/obo/OBI_0001185,OBI]"	"Term Source REF"	"Term Accession Number"
"QHH033_ATHM_1"	"ESI-MS extraction"	"QHH033_ATHM_1"	"LC mass spectrometry"	"2"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Surveyor micro-HPLC"	""	""	"ThermoScientific HYPERSIL GOLD RP-18 (150 x 1mm)"	""	""	" solvent A = water, 0.2% acetic acid; solvent B =acetonitrile, 0.2% acetic acid"	""	""	"ramping from 90 % solvent A, 10 % solvent B to 100% solvant B in 30 min;100% solvent B, isocratic for 10 min"	""	""	"70  ul per minute"	""	""	"LCQ Deca XP Max system"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000264"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"4.0"	"kilovolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000248"	"QHH033_ATHM_1_pos"	"lcms/QHH033_ATHM_1_pos.raw"	"data transformation"	"Xcalibur 2.0"	""	""	""	""	"lcms/QHH033_ATHM_1_pos.cdf"	""	"Mühlviertel Magnum"	""	""
"QHH033_ATHM_2"	"ESI-MS extraction"	"QHH033_ATHM_2"	"LC mass spectrometry"	"2"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Surveyor micro-HPLC"	""	""	"ThermoScientific HYPERSIL GOLD RP-18 (150 x 1mm)"	""	""	" solvent A = water, 0.2% acetic acid; solvent B =acetonitrile, 0.2% acetic acid"	""	""	"ramping from 90 % solvent A, 10 % solvent B to 100% solvant B in 30 min;100% solvent B, isocratic for 10 min"	""	""	"70  ul per minute"	""	""	"LCQ Deca XP Max system"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000264"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"4.0"	"kilovolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000248"	"QHH033_ATHM_2_pos"	"lcms/QHH033_ATHM_2_pos.raw"	"data transformation"	"Xcalibur 2.0"	""	""	""	""	"lcms/QHH033_ATHM_2_pos.cdf"	""	"Mühlviertel Magnum"	""	""
"QHH033_ATHM_3"	"ESI-MS extraction"	"QHH033_ATHM_3"	"LC mass spectrometry"	"2"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Surveyor micro-HPLC"	""	""	"ThermoScientific HYPERSIL GOLD RP-18 (150 x 1mm)"	""	""	" solvent A = water, 0.2% acetic acid; solvent B =acetonitrile, 0.2% acetic acid"	""	""	"ramping from 90 % solvent A, 10 % solvent B to 100% solvant B in 30 min;100% solvent B, isocratic for 10 min"	""	""	"70  ul per minute"	""	""	"LCQ Deca XP Max system"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000264"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"4.0"	"kilovolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000248"	"QHH033_ATHM_3_pos"	"lcms/QHH033_ATHM_3_pos.raw"	"data transformation"	"Xcalibur 2.0"	""	""	""	""	"lcms/QHH033_ATHM_3_pos.cdf"	""	"Mühlviertel Magnum"	""	""
"QHH033_CZAG_1"	"ESI-MS extraction"	"QHH033_CZAG_1"	"LC mass spectrometry"	"2"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Surveyor micro-HPLC"	""	""	"ThermoScientific HYPERSIL GOLD RP-18 (150 x 1mm)"	""	""	" solvent A = water, 0.2% acetic acid; solvent B =acetonitrile, 0.2% acetic acid"	""	""	"ramping from 90 % solvent A, 10 % solvent B to 100% solvant B in 30 min;100% solvent B, isocratic for 10 min"	""	""	"70  ul per minute"	""	""	"LCQ Deca XP Max system"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000264"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"4.0"	"kilovolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000248"	"QHH033_CZAG_1_pos"	"lcms/QHH033_CZAG_1_pos.raw"	"data transformation"	"Xcalibur 2.0"	""	""	""	""	"lcms/QHH033_CZAG_1_pos.cdf"	""	"Saaz Agnus"	""	""
"QHH033_CZAG_2"	"ESI-MS extraction"	"QHH033_CZAG_2"	"LC mass spectrometry"	"2"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Surveyor micro-HPLC"	""	""	"ThermoScientific HYPERSIL GOLD RP-18 (150 x 1mm)"	""	""	" solvent A = water, 0.2% acetic acid; solvent B =acetonitrile, 0.2% acetic acid"	""	""	"ramping from 90 % solvent A, 10 % solvent B to 100% solvant B in 30 min;100% solvent B, isocratic for 10 min"	""	""	"70  ul per minute"	""	""	"LCQ Deca XP Max system"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000264"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"4.0"	"kilovolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000248"	"QHH033_CZAG_2_pos"	"lcms/QHH033_CZAG_2_pos.raw"	"data transformation"	"Xcalibur 2.0"	""	""	""	""	"lcms/QHH033_CZAG_2_pos.cdf"	""	"Saaz Agnus"	""	""
"QHH033_CZAG_3"	"ESI-MS extraction"	"QHH033_CZAG_3"	"LC mass spectrometry"	"2"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Surveyor micro-HPLC"	""	""	"ThermoScientific HYPERSIL GOLD RP-18 (150 x 1mm)"	""	""	" solvent A = water, 0.2% acetic acid; solvent B =acetonitrile, 0.2% acetic acid"	""	""	"ramping from 90 % solvent A, 10 % solvent B to 100% solvant B in 30 min;100% solvent B, isocratic for 10 min"	""	""	"70  ul per minute"	""	""	"LCQ Deca XP Max system"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000264"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"4.0"	"kilovolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000248"	"QHH033_CZAG_3_pos"	"lcms/QHH033_CZAG_3_pos.raw"	"data transformation"	"Xcalibur 2.0"	""	""	""	""	"lcms/QHH033_CZAG_3_pos.cdf"	""	"Saaz Agnus"	""	""
"QHH033_EHM_1"	"ESI-MS extraction"	"QHH033_EHM_1"	"LC mass spectrometry"	"2"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Surveyor micro-HPLC"	""	""	"ThermoScientific HYPERSIL GOLD RP-18 (150 x 1mm)"	""	""	" solvent A = water, 0.2% acetic acid; solvent B =acetonitrile, 0.2% acetic acid"	""	""	"ramping from 90 % solvent A, 10 % solvent B to 100% solvant B in 30 min;100% solvent B, isocratic for 10 min"	""	""	"70  ul per minute"	""	""	"LCQ Deca XP Max system"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000264"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"4.0"	"kilovolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000248"	"QHH033_EHM_1_pos"	"lcms/QHH033_EHM_1_pos.raw"	"data transformation"	"Xcalibur 2.0"	""	""	""	""	"lcms/QHH033_EHM_1_pos.cdf"	""	"Elbe-Saale Magnum"	""	""
"QHH033_EHM_2"	"ESI-MS extraction"	"QHH033_EHM_2"	"LC mass spectrometry"	"2"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Surveyor micro-HPLC"	""	""	"ThermoScientific HYPERSIL GOLD RP-18 (150 x 1mm)"	""	""	" solvent A = water, 0.2% acetic acid; solvent B =acetonitrile, 0.2% acetic acid"	""	""	"ramping from 90 % solvent A, 10 % solvent B to 100% solvant B in 30 min;100% solvent B, isocratic for 10 min"	""	""	"70  ul per minute"	""	""	"LCQ Deca XP Max system"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000264"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"4.0"	"kilovolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000248"	"QHH033_EHM_2_pos"	"lcms/QHH033_EHM_2_pos.raw"	"data transformation"	"Xcalibur 2.0"	""	""	""	""	"lcms/QHH033_EHM_2_pos.cdf"	""	"Elbe-Saale Magnum"	""	""
"QHH033_EHM_3"	"ESI-MS extraction"	"QHH033_EHM_3"	"LC mass spectrometry"	"2"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Surveyor micro-HPLC"	""	""	"ThermoScientific HYPERSIL GOLD RP-18 (150 x 1mm)"	""	""	" solvent A = water, 0.2% acetic acid; solvent B =acetonitrile, 0.2% acetic acid"	""	""	"ramping from 90 % solvent A, 10 % solvent B to 100% solvant B in 30 min;100% solvent B, isocratic for 10 min"	""	""	"70  ul per minute"	""	""	"LCQ Deca XP Max system"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000264"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"4.0"	"kilovolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000248"	"QHH033_EHM_3_pos"	"lcms/QHH033_EHM_3_pos.raw"	"data transformation"	"Xcalibur 2.0"	""	""	""	""	"lcms/QHH033_EHM_3_pos.cdf"	""	"Elbe-Saale Magnum"	""	""
"QHH033_ENB_1"	"ESI-MS extraction"	"QHH033_ENB_1"	"LC mass spectrometry"	"2"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"umbelliferone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27510"	"8"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Surveyor micro-HPLC"	""	""	"ThermoScientific HYPERSIL GOLD RP-18 (150 x 1mm)"	""	""	" solvent A = water, 0.2% acetic acid; solvent B =acetonitrile, 0.2% acetic acid"	""	""	"ramping from 90 % solvent A, 10 % solvent B to 100% solvant B in 30 min;100% solvent B, isocratic for 10 min"	""	""	"70  ul per minute"	""	""	"LCQ Deca XP Max system"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000264"	"positive ion mode"	"MS"	"http://purl.obolibrary.org/obo/MS_1000077"	"4.0"	"kilovolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000248"	"QHH033_ENB_1_pos"	"lcms/QHH033_ENB_1_pos.raw"	"data transformation"	"Xcalibur 2.0"	""	""	""	""	"lcms/QHH033_ENB_1_pos.cdf"	""	"Elbe-Saale Northern Brewer"	""	""
