"Sample Name"	"Characteristics[sample amount]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[NMR solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[solvent volume]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"Parameter Value[sample volume]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[sample buffer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[internal standard]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[internal standard concentration]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR tube]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[number of acquisition]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Metabolite Assignment File"	"Factor Value[selectively maintained organism,http://purl.obolibrary.org/obo/OBI_0001185,OBI]"	"Term Source REF"	"Term Accession Number"
"QHH033_ATHM_1"	"48"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"NMR sample preparation"	"acetone-d6"	""	""	"0.8"	"milliliter"	""	""	"QHH033_ATHM_1"	"1D 1H-NMR spectroscopy"	"800"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"acetone-d6"	""	""	"Hexamethyldisiloxane (CAS 107-46-0)"	""	""	"0.94"	"milli mol / l"	""	""	"Varian VNMRS 600"	""	""	"5 mm NMR tube"	""	""	"5 mm inverse detection cryoprobe"	""	""	"160"	""	""	"599.83"	"megahertz"	""	""	"nmr/QHH033_ATHM_1.PROTON_01.fid/procpar"	"nmr assay"	"QHH033_ATHM_1.PROTON"	"fid"	"data normalization"	""	"principal component analysis"	"1DNMR-cone-DT"	"<manuscript-figure7A>"	"<manuscript-Table2>"	"Muhlviertel Magnum"	""	""
"QHH033_ATHM_2"	"48"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"NMR sample preparation"	"acetone-d6"	""	""	"0.8"	"milliliter"	""	""	"QHH033_ATHM_2"	"1D 1H-NMR spectroscopy"	"800"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"acetone-d6"	""	""	"Hexamethyldisiloxane (CAS 107-46-0)"	""	""	"0.94"	"milli mol / l"	""	""	"Varian VNMRS 600"	""	""	"5 mm NMR tube"	""	""	"5 mm inverse detection cryoprobe"	""	""	"160"	""	""	"599.83"	"megahertz"	""	""	"nmr/QHH033_ATHM_2.PROTON_01.fid/procpar"	"nmr assay"	"QHH033_ATHM_2.PROTON"	"fid"	"data normalization"	""	"principal component analysis"	"1DNMR-cone-DT"	"<manuscript-figure7A>"	"<manuscript-Table2>"	"Muhlviertel Magnum"	""	""
"QHH033_ATHM_3"	"48"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"NMR sample preparation"	"acetone-d6"	""	""	"0.8"	"milliliter"	""	""	"QHH033_ATHM_3"	"1D 1H-NMR spectroscopy"	"800"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"acetone-d6"	""	""	"Hexamethyldisiloxane (CAS 107-46-0)"	""	""	"0.94"	"milli mol / l"	""	""	"Varian VNMRS 600"	""	""	"5 mm NMR tube"	""	""	"5 mm inverse detection cryoprobe"	""	""	"160"	""	""	"599.83"	"megahertz"	""	""	"nmr/QHH033_ATHM_3.PROTON_01.fid/procpar"	"nmr assay"	"QHH033_ATHM_3.PROTON"	"fid"	"data normalization"	""	"principal component analysis"	"1DNMR-cone-DT"	"<manuscript-figure7A>"	"<manuscript-Table2>"	"Muhlviertel Magnum"	""	""
"QHH033_CZAG_1"	"48"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"NMR sample preparation"	"acetone-d6"	""	""	"0.8"	"milliliter"	""	""	"QHH033_CZAG_1"	"1D 1H-NMR spectroscopy"	"800"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"acetone-d6"	""	""	"Hexamethyldisiloxane (CAS 107-46-0)"	""	""	"0.94"	"milli mol / l"	""	""	"Varian VNMRS 600"	""	""	"5 mm NMR tube"	""	""	"5 mm inverse detection cryoprobe"	""	""	"160"	""	""	"599.83"	"megahertz"	""	""	"nmr/QHH033_CZAG_1.PROTON_01.fid/procpar"	"nmr assay"	"QHH033_CZAG_1.PROTON"	"fid"	"data normalization"	""	"principal component analysis"	"1DNMR-cone-DT"	"<manuscript-figure7A>"	"<manuscript-Table2>"	"Saaz Agnus"	""	""
"QHH033_CZAG_2"	"48"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"NMR sample preparation"	"acetone-d6"	""	""	"0.8"	"milliliter"	""	""	"QHH033_CZAG_2"	"1D 1H-NMR spectroscopy"	"800"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"acetone-d6"	""	""	"Hexamethyldisiloxane (CAS 107-46-0)"	""	""	"0.94"	"milli mol / l"	""	""	"Varian VNMRS 600"	""	""	"5 mm NMR tube"	""	""	"5 mm inverse detection cryoprobe"	""	""	"160"	""	""	"599.83"	"megahertz"	""	""	"nmr/QHH033_CZAG_2.PROTON_01.fid/procpar"	"nmr assay"	"QHH033_CZAG_2.PROTON"	"fid"	"data normalization"	""	"principal component analysis"	"1DNMR-cone-DT"	"<manuscript-figure7A>"	"<manuscript-Table2>"	"Saaz Agnus"	""	""
"QHH033_CZAG_3"	"48"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"NMR sample preparation"	"acetone-d6"	""	""	"0.8"	"milliliter"	""	""	"QHH033_CZAG_3"	"1D 1H-NMR spectroscopy"	"800"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"acetone-d6"	""	""	"Hexamethyldisiloxane (CAS 107-46-0)"	""	""	"0.94"	"milli mol / l"	""	""	"Varian VNMRS 600"	""	""	"5 mm NMR tube"	""	""	"5 mm inverse detection cryoprobe"	""	""	"160"	""	""	"599.83"	"megahertz"	""	""	"nmr/QHH033_CZAG_3.PROTON_01.fid/procpar"	"nmr assay"	"QHH033_CZAG_3.PROTON"	"fid"	"data normalization"	""	"principal component analysis"	"1DNMR-cone-DT"	"<manuscript-figure7A>"	"<manuscript-Table2>"	"Saaz Agnus"	""	""
"QHH033_EHM_1"	"48"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"NMR sample preparation"	"acetone-d6"	""	""	"0.8"	"milliliter"	""	""	"QHH033_EHM_1"	"1D 1H-NMR spectroscopy"	"800"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"acetone-d6"	""	""	"Hexamethyldisiloxane (CAS 107-46-0)"	""	""	"0.94"	"milli mol / l"	""	""	"Varian VNMRS 600"	""	""	"5 mm NMR tube"	""	""	"5 mm inverse detection cryoprobe"	""	""	"160"	""	""	"599.83"	"megahertz"	""	""	"nmr/QHH033_EHM_1.PROTON_01.fid/procpar"	"nmr assay"	"QHH033_EHM_1.PROTON"	"fid"	"data normalization"	""	"principal component analysis"	"1DNMR-cone-DT"	"<manuscript-figure7A>"	"<manuscript-Table2>"	"Elbe-Saale Magnum"	""	""
"QHH033_EHM_2"	"48"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"NMR sample preparation"	"acetone-d6"	""	""	"0.8"	"milliliter"	""	""	"QHH033_EHM_2"	"1D 1H-NMR spectroscopy"	"800"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"acetone-d6"	""	""	"Hexamethyldisiloxane (CAS 107-46-0)"	""	""	"0.94"	"milli mol / l"	""	""	"Varian VNMRS 600"	""	""	"5 mm NMR tube"	""	""	"5 mm inverse detection cryoprobe"	""	""	"160"	""	""	"599.83"	"megahertz"	""	""	"nmr/QHH033_EHM_2.PROTON_01.fid/procpar"	"nmr assay"	"QHH033_EHM_2.PROTON"	"fid"	"data normalization"	""	"principal component analysis"	"1DNMR-cone-DT"	"<manuscript-figure7A>"	"<manuscript-Table2>"	"Elbe-Saale Magnum"	""	""
"QHH033_EHM_3"	"48"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"NMR sample preparation"	"acetone-d6"	""	""	"0.8"	"milliliter"	""	""	"QHH033_EHM_3"	"1D 1H-NMR spectroscopy"	"800"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"acetone-d6"	""	""	"Hexamethyldisiloxane (CAS 107-46-0)"	""	""	"0.94"	"milli mol / l"	""	""	"Varian VNMRS 600"	""	""	"5 mm NMR tube"	""	""	"5 mm inverse detection cryoprobe"	""	""	"160"	""	""	"599.83"	"megahertz"	""	""	"nmr/QHH033_EHM_3.PROTON_01.fid/procpar"	"nmr assay"	"QHH033_EHM_3.PROTON"	"fid"	"data normalization"	""	"principal component analysis"	"1DNMR-cone-DT"	"<manuscript-figure7A>"	"<manuscript-Table2>"	"Elbe-Saale Magnum"	""	""
"QHH033_ENB_1"	"48"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"NMR sample preparation"	"acetone-d6"	""	""	"0.8"	"milliliter"	""	""	"QHH033_ENB_1"	"1D 1H-NMR spectroscopy"	"800"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"acetone-d6"	""	""	"Hexamethyldisiloxane (CAS 107-46-0)"	""	""	"0.94"	"milli mol / l"	""	""	"Varian VNMRS 600"	""	""	"5 mm NMR tube"	""	""	"5 mm inverse detection cryoprobe"	""	""	"160"	""	""	"599.83"	"megahertz"	""	""	"nmr/QHH033_ENB_1.PROTON_01.fid/procpar"	"nmr assay"	"QHH033_ENB_1.PROTON"	"fid"	"data normalization"	""	"principal component analysis"	"1DNMR-cone-DT"	"<manuscript-figure7A>"	"<manuscript-Table2>"	"Elbe-Saale Northern Brewer"	""	""
"QHH033_ENB_2"	"48"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"NMR sample preparation"	"acetone-d6"	""	""	"0.8"	"milliliter"	""	""	"QHH033_ENB_2"	"1D 1H-NMR spectroscopy"	"800"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"acetone-d6"	""	""	"Hexamethyldisiloxane (CAS 107-46-0)"	""	""	"0.94"	"milli mol / l"	""	""	"Varian VNMRS 600"	""	""	"5 mm NMR tube"	""	""	"5 mm inverse detection cryoprobe"	""	""	"160"	""	""	"599.83"	"megahertz"	""	""	"nmr/QHH033_ENB_2.PROTON_01.fid/procpar"	"nmr assay"	"QHH033_ENB_2.PROTON"	"fid"	"data normalization"	""	"principal component analysis"	"1DNMR-cone-DT"	"<manuscript-figure7A>"	"<manuscript-Table2>"	"Elbe-Saale Northern Brewer"	""	""
"QHH033_ENB_3"	"48"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"NMR sample preparation"	"acetone-d6"	""	""	"0.8"	"milliliter"	""	""	"QHH033_ENB_3"	"1D 1H-NMR spectroscopy"	"800"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"acetone-d6"	""	""	"Hexamethyldisiloxane (CAS 107-46-0)"	""	""	"0.94"	"milli mol / l"	""	""	"Varian VNMRS 600"	""	""	"5 mm NMR tube"	""	""	"5 mm inverse detection cryoprobe"	""	""	"160"	""	""	"599.83"	"megahertz"	""	""	"nmr/QHH033_ENB_3.PROTON_01.fid/procpar"	"nmr assay"	"QHH033_ENB_3.PROTON"	"fid"	"data normalization"	""	"principal component analysis"	"1DNMR-cone-DT"	"<manuscript-figure7A>"	"<manuscript-Table2>"	"Elbe-Saale Northern Brewer"	""	""
"QHH033_HHE_1"	"48"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"NMR sample preparation"	"acetone-d6"	""	""	"0.8"	"milliliter"	""	""	"QHH033_HHE_1"	"1D 1H-NMR spectroscopy"	"800"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"acetone-d6"	""	""	"Hexamethyldisiloxane (CAS 107-46-0)"	""	""	"0.94"	"milli mol / l"	""	""	"Varian VNMRS 600"	""	""	"5 mm NMR tube"	""	""	"5 mm inverse detection cryoprobe"	""	""	"160"	""	""	"599.83"	"megahertz"	""	""	"nmr/QHH033_HHE_1.PROTON_01.fid/procpar"	"nmr assay"	"QHH033_HHE_1.PROTON"	"fid"	"data normalization"	""	"principal component analysis"	"1DNMR-cone-DT"	"<manuscript-figure7A>"	"<manuscript-Table2>"	"Hallertau Hersbruker"	""	""
"QHH033_HHE_2"	"48"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"NMR sample preparation"	"acetone-d6"	""	""	"0.8"	"milliliter"	""	""	"QHH033_HHE_2"	"1D 1H-NMR spectroscopy"	"800"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"acetone-d6"	""	""	"Hexamethyldisiloxane (CAS 107-46-0)"	""	""	"0.94"	"milli mol / l"	""	""	"Varian VNMRS 600"	""	""	"5 mm NMR tube"	""	""	"5 mm inverse detection cryoprobe"	""	""	"160"	""	""	"599.83"	"megahertz"	""	""	"nmr/QHH033_HHE_2.PROTON_01.fid/procpar"	"nmr assay"	"QHH033_HHE_2.PROTON"	"fid"	"data normalization"	""	"principal component analysis"	"1DNMR-cone-DT"	"<manuscript-figure7A>"	"<manuscript-Table2>"	"Hallertau Hersbruker"	""	""
"QHH033_HHE_3"	"48"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"NMR sample preparation"	"acetone-d6"	""	""	"0.8"	"milliliter"	""	""	"QHH033_HHE_3"	"1D 1H-NMR spectroscopy"	"800"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"acetone-d6"	""	""	"Hexamethyldisiloxane (CAS 107-46-0)"	""	""	"0.94"	"milli mol / l"	""	""	"Varian VNMRS 600"	""	""	"5 mm NMR tube"	""	""	"5 mm inverse detection cryoprobe"	""	""	"160"	""	""	"599.83"	"megahertz"	""	""	"nmr/QHH033_HHE_3.PROTON_01.fid/procpar"	"nmr assay"	"QHH033_HHE_3.PROTON"	"fid"	"data normalization"	""	"principal component analysis"	"1DNMR-cone-DT"	"<manuscript-figure7A>"	"<manuscript-Table2>"	"Hallertau Hersbruker"	""	""
"QHH033_HHM_1"	"48"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"NMR sample preparation"	"acetone-d6"	""	""	"0.8"	"milliliter"	""	""	"QHH033_HHM_1"	"1D 1H-NMR spectroscopy"	"800"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"acetone-d6"	""	""	"Hexamethyldisiloxane (CAS 107-46-0)"	""	""	"0.94"	"milli mol / l"	""	""	"Varian VNMRS 600"	""	""	"5 mm NMR tube"	""	""	"5 mm inverse detection cryoprobe"	""	""	"160"	""	""	"599.83"	"megahertz"	""	""	"nmr/QHH033_HHM_1.PROTON_01.fid/procpar"	"nmr assay"	"QHH033_HHM_1.PROTON"	"fid"	"data normalization"	""	"principal component analysis"	"1DNMR-cone-DT"	"<manuscript-figure7A>"	"<manuscript-Table2>"	"Hallertau Hallertauer Magnum"	""	""
"QHH033_HHM_2"	"48"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"NMR sample preparation"	"acetone-d6"	""	""	"0.8"	"milliliter"	""	""	"QHH033_HHM_2"	"1D 1H-NMR spectroscopy"	"800"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"acetone-d6"	""	""	"Hexamethyldisiloxane (CAS 107-46-0)"	""	""	"0.94"	"milli mol / l"	""	""	"Varian VNMRS 600"	""	""	"5 mm NMR tube"	""	""	"5 mm inverse detection cryoprobe"	""	""	"160"	""	""	"599.83"	"megahertz"	""	""	"nmr/QHH033_HHM_2.PROTON_01.fid/procpar"	"nmr assay"	"QHH033_HHM_2.PROTON"	"fid"	"data normalization"	""	"principal component analysis"	"1DNMR-cone-DT"	"<manuscript-figure7A>"	"<manuscript-Table2>"	"Hallertau Hallertauer Magnum"	""	""
"QHH033_HHM_3"	"48"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"NMR sample preparation"	"acetone-d6"	""	""	"0.8"	"milliliter"	""	""	"QHH033_HHM_3"	"1D 1H-NMR spectroscopy"	"800"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"acetone-d6"	""	""	"Hexamethyldisiloxane (CAS 107-46-0)"	""	""	"0.94"	"milli mol / l"	""	""	"Varian VNMRS 600"	""	""	"5 mm NMR tube"	""	""	"5 mm inverse detection cryoprobe"	""	""	"160"	""	""	"599.83"	"megahertz"	""	""	"nmr/QHH033_HHM_3.PROTON_01.fid/procpar"	"nmr assay"	"QHH033_HHM_3.PROTON"	"fid"	"data normalization"	""	"principal component analysis"	"1DNMR-cone-DT"	"<manuscript-figure7A>"	"<manuscript-Table2>"	"Hallertau Hallertauer Magnum"	""	""
