"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[cultivar]"	"Term Source REF"	"Term Accession Number"	"Characteristics[supplier]"	"Term Source REF"	"Term Accession Number"	"Characteristics[country]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism Part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[sample dry weight]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[extraction solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[solvent volume]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Sample Name"	"Factor Value[selectively maintained organism]"	"Term Source REF"	"Term Accession Number"
"QHH033_ATHM"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"M�hlviertel Magnum"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Austria"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00002942"	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_ATHM_1"	"M�hlviertel Magnum"	""	""
"QHH033_ATHM"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"M�hlviertel Magnum"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Austria"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00002942"	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_ATHM_2"	"M�hlviertel Magnum"	""	""
"QHH033_ATHM"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"M�hlviertel Magnum"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Austria"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00002942"	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_ATHM_3"	"M�hlviertel Magnum"	""	""
"QHH033_ATPE"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"M�hlviertel Perle"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Austria"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00002942"	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_ATPE_1"	"M�hlviertel Perle"	""	""
"QHH033_ATPE"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"M�hlviertel Perle"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Austria"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00002942"	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_ATPE_2"	"M�hlviertel Perle"	""	""
"QHH033_ATPE"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"M�hlviertel Perle"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Austria"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00002942"	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_ATPE_3"	"M�hlviertel Perle"	""	""
"QHH033_CZAG"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Saaz Agnus"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Czech Republic"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00002954"	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_CZAG_1"	"Saaz Agnus"	""	""
"QHH033_CZAG"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Saaz Agnus"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Czech Republic"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00002954"	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_CZAG_2"	"Saaz Agnus"	""	""
"QHH033_CZAG"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Saaz Agnus"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Czech Republic"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00002954"	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_CZAG_3"	"Saaz Agnus"	""	""
"QHH033_EHM"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Elbe-Saale Magnum"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_EHM_1"	"Elbe-Saale Magnum"	""	""
"QHH033_EHM"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Elbe-Saale Magnum"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_EHM_2"	"Elbe-Saale Magnum"	""	""
